Generation,Inclinations,RAANs,Fitness1,Fitness2
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
2,"[20.50455846361069, 119.0077004080791, 57.40269454764841]","[225.04966503444007, 325.81316161839106, 311.90435088002243]",57980.0,-6990.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
3,"[6.527165755847742, 19.852124463165314, 73.18095465609107]","[316.42128801181, 11.616742018427782, 193.45668343506597]",42970.0,-5860.0
