Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[144.73280906896457, 159.38165695917675, 141.79702654105665]","[178.24412763502536, 23.354977268320425, 114.42955925680843]",65130.0,-3060.0
0,"[141.1543352184671, 157.38866832157458, 166.9297283871013]","[298.3142543283838, 218.7433829337998, 31.84410647029804]",68460.0,-3200.0
0,"[159.59566315925835, 170.17231245691153, 140.16230640226823]","[253.75735641161006, 186.6868049598751, 113.66857246158779]",68980.0,-2060.0
0,"[159.59566315925835, 170.17231245691153, 140.16230640226823]","[253.75735641161006, 186.6868049598751, 113.66857246158779]",68980.0,-2060.0
0,"[140.2316246120673, 148.9554434376485, 165.8197383386288]","[3.679449151508387, 218.3685437854382, 26.480826706296554]",70890.0,-2990.0
0,"[133.01960386000326, 150.544673459357, 124.23172337955245]","[323.55557620060574, 296.4387456180352, 216.34274444284733]",73620.0,-1940.0
0,"[135.84958924850903, 158.52499124835282, 150.47378100462316]","[90.63848573729017, 295.83882665442985, 203.09958047598204]",78600.0,-3080.0
0,"[144.9197028003377, 171.3439149691462, 160.90925757738137]","[189.96195559998338, 68.34540722204119, 25.50773142333661]",79010.0,-2990.0
0,"[144.9197028003377, 170.90319328040135, 160.90925757738137]","[189.96195559998338, 68.91939939719246, 25.50773142333661]",79010.0,-2990.0
0,"[144.9197028003377, 170.90319328040135, 160.90925757738137]","[189.96195559998338, 68.91939939719246, 25.50773142333661]",79010.0,-2990.0
0,"[166.6078433961001, 163.60828252530771, 138.27145950490188]","[71.37732716841445, 357.0305604689292, 237.16143623238446]",80300.0,-4480.0
0,"[165.03995393731518, 158.71241616608918, 165.5806412228418]","[97.01790581379518, 290.32131594453574, 289.0578994556605]",80400.0,-4710.0
0,"[164.78803084426758, 159.48940594562745, 118.09603293423623]","[210.84714498022942, 334.71479393377376, 331.4853315025324]",80670.0,-4170.0
0,"[129.2787338402507, 157.2084272179771, 164.98808866254765]","[306.6866905785735, 10.344746221780227, 249.66676779003566]",80680.0,-3740.0
0,"[114.45244658541262, 152.4760098665218, 162.26969952204536]","[284.37879603131756, 290.35311265129815, 332.3881591628479]",81270.0,-3620.0
0,"[114.45244658541262, 152.4760098665218, 162.26969952204536]","[284.37879603131756, 290.35311265129815, 332.3881591628479]",81270.0,-3620.0
0,"[165.6443043606055, 159.48940594562745, 118.09603293423623]","[211.04143938302624, 334.71479393377376, 331.4853315025324]",81400.0,-3440.0
0,"[165.6443043606055, 159.48940594562745, 118.09603293423623]","[211.04143938302624, 334.71479393377376, 331.4853315025324]",81400.0,-3440.0
1,"[173.9885862631488, 173.63723414889841, 167.3557872582742]","[70.37398783572226, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
1,"[172.8358668080129, 173.63723414889841, 167.3557872582742]","[68.10305079292598, 345.1945570925125, 14.121910339893411]",13240.0,-920.0
1,"[172.8358668080129, 173.63723414889841, 166.37305368424427]","[68.10305079292598, 345.1945570925125, 15.322077648562033]",18290.0,-1350.0
1,"[171.2255329382821, 134.22599567492097, 178.46565468347382]","[99.1735159922401, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
1,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
1,"[169.37623844376193, 134.22599567492097, 178.46565468347382]","[100.73959057671982, 127.5907435776091, 148.29149485511962]",38110.0,-500.0
1,"[160.11141830441903, 154.7011684847108, 142.30612175255797]","[163.13297393079077, 127.69284320528959, 98.24923582092747]",42620.0,-3750.0
1,"[160.62999454666155, 154.7011684847108, 142.30612175255797]","[163.28625745122798, 127.69284320528959, 98.24923582092747]",42650.0,-3720.0
1,"[127.00355982170517, 170.15389315677055, 172.93668841835213]","[221.9771578176873, 177.55266236698657, 148.20198604349005]",43960.0,-470.0
1,"[127.00355982170517, 170.15389315677055, 172.93668841835213]","[221.9771578176873, 177.55266236698657, 148.20198604349005]",43960.0,-470.0
1,"[125.59820805762844, 149.10594755105188, 117.02121241261939]","[131.74097304113928, 127.78104976049275, 105.00420812097603]",45510.0,-1810.0
1,"[169.20645055298402, 133.5417923791, 112.74430689936261]","[65.4963714214281, 193.96749282820605, 192.22936673873085]",46260.0,-950.0
1,"[160.11141830441903, 154.7011684847108, 140.88143396867588]","[163.13297393079077, 127.69284320528959, 98.2768516588975]",47050.0,-3740.0
1,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
1,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
1,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
1,"[160.11141830441903, 154.7011684847108, 140.45753183713185]","[163.13297393079077, 127.69284320528959, 99.04007386067997]",48370.0,-3760.0
1,"[160.11141830441903, 154.7011684847108, 140.5783222180564]","[163.13297393079077, 127.69284320528959, 99.06159434657769]",48380.0,-3750.0
1,"[160.11141830441903, 154.7011684847108, 140.5783222180564]","[163.13297393079077, 127.69284320528959, 99.06159434657769]",48380.0,-3750.0
1,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
1,"[159.04573546902137, 155.66397541940916, 140.0803835296969]","[163.11897954492886, 126.66083522021712, 98.6747142066056]",48830.0,-3320.0
