Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
"[173.09325644455902, 175.76778916730447, 167.70522146570113]","[71.60220842633879, 345.01502466185855, 11.810916295749994]",7770.0,-520.0
"[173.21802703177167, 175.88538030162806, 167.70522146570113]","[71.47313139950705, 344.64869362521875, 11.810916295749994]",7770.0,-520.0
"[173.185254726658, 175.92419317843184, 167.70522146570113]","[71.50248359319487, 344.6658407439207, 11.810916295749994]",7770.0,-520.0
"[172.9123201678112, 175.71173052493108, 167.70522146570113]","[71.78203663087254, 345.26087956756055, 11.810916295749994]",7770.0,-520.0
"[173.1167940431734, 175.69472602225906, 167.70522146570113]","[71.56689425703385, 345.04414277182593, 11.810916295749994]",7770.0,-520.0
"[173.2266999632547, 175.90085065071779, 167.70522146570113]","[71.46133295795448, 344.68579915565925, 11.810916295749994]",7770.0,-520.0
"[173.06408135148408, 175.7904742320739, 167.70522146570113]","[71.61963310983074, 344.9806636931868, 11.810916295749994]",7770.0,-520.0
"[173.19409405777668, 175.8234117372615, 167.70522146570113]","[71.50486932712704, 344.8310854815539, 11.810916295749994]",7770.0,-520.0
"[173.1986733036, 175.81833689042162, 167.70522146570113]","[71.46400271140573, 344.77066437422036, 11.810916295749994]",7770.0,-520.0
"[173.00975152397785, 175.73213340077132, 167.70522146570113]","[71.6906982377889, 345.10322765881943, 11.810916295749994]",7770.0,-520.0
"[173.17945429177792, 175.83563174117103, 167.70522146570113]","[71.51467487792436, 344.7668061149342, 11.810916295749994]",7770.0,-520.0
"[173.11436890124776, 175.73056046044803, 167.70522146570113]","[71.57731073146667, 344.9528869287293, 11.810916295749994]",7770.0,-520.0
"[173.1785640573298, 175.79027540174417, 167.70522146570113]","[71.50421947819525, 344.8513088770433, 11.810916295749994]",7770.0,-520.0
"[173.08581575957623, 175.72311301035805, 167.70522146570113]","[71.59431503956272, 345.0665564876677, 11.810916295749994]",7770.0,-520.0
