Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
0,"[121.84735407270959, 161.63258598396686, 144.18136240526042]","[268.267914284999, 287.5418197180732, 13.598115594634999]",81570.0,-3310.0
0,"[176.64031518869373, 143.81663778906363, 163.5824115554385]","[303.27647316969114, 243.51711594766294, 135.3212534636421]",81650.0,-3170.0
1,"[163.67041138821935, 155.43857694316887, 178.70870286524143]","[65.1117844042905, 56.73164939344189, 228.26556631139704]",32630.0,-3470.0
1,"[178.4146091307913, 172.75237669922217, 148.9647691645285]","[82.165815080812, 139.69791894953667, 100.17184358675722]",33560.0,-880.0
1,"[161.42788100559946, 147.5260256207253, 179.4818203921336]","[58.30006437230769, 73.6502784318441, 277.8021122361333]",34790.0,-2920.0
1,"[134.4188764855296, 179.48284705374368, 168.85995029206285]","[33.96597248882112, 174.690211094782, 16.926277286550814]",36710.0,-550.0
1,"[169.03308934220746, 143.54448597142624, 151.32801258953637]","[284.47641285274506, 193.96487193388054, 178.6375341064362]",37130.0,-1630.0
1,"[147.1078697412089, 170.52953834628238, 133.93245683924505]","[187.43635840908814, 346.9150310862063, 170.98393039751903]",38930.0,-1310.0
1,"[153.5932083161565, 148.80212805118663, 154.18153787628898]","[132.31617335965242, 147.41191335633292, 171.3539391642376]",39170.0,-3000.0
1,"[151.23579249224582, 140.40576381433303, 166.4406800901468]","[120.47082326199165, 137.20314574022797, 203.793231683547]",39710.0,-2790.0
1,"[169.9212450681954, 160.13920115997374, 164.22329477833105]","[70.23293972655983, 106.67409869069039, 188.98697791144528]",40420.0,-3720.0
1,"[153.54397942236545, 155.2505187004529, 138.8898255146877]","[197.63949133552256, 191.45236338926873, 178.75944966840603]",40480.0,-2790.0
1,"[166.15757908952935, 130.42518672628665, 143.92127870269002]","[218.9547824407034, 146.8708525929029, 160.02857077712625]",41090.0,-2740.0
1,"[166.6349520164424, 157.7783896811157, 139.49296230913504]","[166.0215791594106, 168.77803806174424, 201.84960303570455]",41700.0,-3140.0
1,"[162.76635851430828, 157.7658556772867, 124.978382464102]","[184.57289367680602, 235.421153218524, 208.58602741367028]",41820.0,-4330.0
1,"[145.33698239524853, 144.46433106854715, 140.1723883905931]","[171.1188212922325, 182.26014981938414, 204.51876069491547]",42520.0,-2030.0
1,"[141.5033460549723, 153.3835746287959, 150.99523140588815]","[160.80945206913992, 126.07479170295849, 184.777922845466]",43610.0,-2630.0
1,"[134.4050022529862, 165.9243616058173, 156.48389451613565]","[97.59598271189091, 105.63137360963131, 52.18697534629529]",45740.0,-3380.0
1,"[145.79740858206867, 166.4207999026304, 151.99181704098294]","[187.8562115594571, 185.20858944522922, 144.52445738560783]",46060.0,-3030.0
1,"[130.48981719698935, 161.02101614686205, 125.86672471353384]","[83.38205049893604, 41.218897179461926, 39.06962104259135]",47450.0,-2810.0
1,"[131.25629489256147, 161.02101614686205, 125.86672471353384]","[84.1743098606726, 41.218897179461926, 39.06962104259135]",47480.0,-2800.0
1,"[148.76593533685843, 149.96774154037118, 159.97482643185032]","[202.74006792046657, 156.12171164573593, 222.9563326124903]",48660.0,-3480.0
1,"[157.21030341911867, 152.3358018683441, 131.61689466156196]","[228.98435436072194, 187.0322455686806, 174.0350438247079]",49170.0,-2860.0
1,"[165.97055856063864, 144.7094942174893, 121.3702468418719]","[166.26073913527586, 168.32568262748956, 12.68279626044217]",49990.0,-2740.0
1,"[147.08011429260435, 158.22979654501546, 152.28771378938762]","[74.24691745161327, 48.97527328645191, 133.6675936769942]",50430.0,-3000.0
1,"[125.37565753071638, 138.9695118018353, 161.65185390711036]","[93.64286745802087, 264.8094503078365, 121.86822637047294]",51670.0,-3010.0
1,"[155.52959583711169, 161.64974242140366, 166.2211809237507]","[168.62122282925614, 209.10366352122247, 76.12376537509647]",52260.0,-4950.0
1,"[162.72391490174243, 155.05166496245704, 129.40192388561863]","[178.82780950720456, 242.89362560437493, 177.62351305187536]",52370.0,-3920.0
1,"[144.7202883496668, 148.75661503415654, 159.9421530427752]","[193.54524244758818, 125.44658294454013, 136.12934022491592]",53140.0,-3170.0
1,"[130.69702623171025, 162.05361516347307, 144.92358015926746]","[157.7016811419132, 123.73174168215326, 100.36581069100441]",54320.0,-3220.0
1,"[130.69702623171025, 162.05361516347307, 144.92358015926746]","[157.7016811419132, 123.73174168215326, 100.36581069100441]",54320.0,-3220.0
1,"[147.64845129945587, 149.55435648090452, 162.93757434272072]","[81.93790359229035, 185.74177449926344, 155.4276021409591]",54360.0,-3540.0
1,"[158.84200958379296, 138.5510698985022, 158.49097567179925]","[242.95902766068338, 222.1365644981374, 132.55280229730138]",54680.0,-3570.0
1,"[150.82529449752872, 165.88154304049834, 160.4542574441506]","[238.91806002299, 263.95679217511326, 123.51893409898418]",57080.0,-4000.0
1,"[118.95071969101045, 137.64948960889464, 161.9515995244592]","[216.2771907471007, 129.20358071557405, 212.44471380653735]",57300.0,-3180.0
1,"[150.3143506805613, 157.23133615371452, 145.1405033681919]","[293.59712078333666, 72.89058731713462, 89.86390724490741]",58640.0,-2930.0
1,"[145.68536576573143, 175.18490427816556, 164.4808183426253]","[320.62041272436267, 89.17825207816836, 174.22195668370753]",58850.0,-2990.0
1,"[143.50053218416417, 150.05601312123366, 157.75083301946057]","[210.93723550044163, 115.75675273990129, 94.7495545268225]",59600.0,-2900.0
1,"[143.73343191597033, 158.64583427405347, 154.48496160196598]","[106.87175374206535, 222.46747811902395, 77.18092642375102]",60800.0,-3120.0
1,"[132.31804272837093, 156.4171969435301, 163.21620893354225]","[268.44880173573165, 109.1909163968712, 193.33333524512244]",62370.0,-3890.0
1,"[160.56820360537805, 167.41711053817266, 130.4917049065533]","[145.60738414552512, 289.60993582287944, 116.58857075663114]",62640.0,-3120.0
1,"[148.19975884559582, 159.3430253813683, 138.58925136609503]","[150.1739373193173, 248.61978915660478, 118.77782641998597]",63630.0,-3190.0
1,"[148.4500482775987, 159.96210951919895, 141.86354248125198]","[291.707969586168, 205.7388085098716, 335.38729138897367]",70270.0,-3190.0
1,"[148.4500482775987, 159.96210951919895, 140.42136599512327]","[291.707969586168, 205.7388085098716, 335.55180260085575]",70310.0,-3150.0
1,"[158.23437760074006, 165.34461945278105, 126.07608710918981]","[300.3151564083018, 174.3315619893391, 293.12311752831704]",70410.0,-3740.0
1,"[164.07437433024728, 154.1930012226052, 124.01616117133327]","[123.49964877995403, 239.365370202512, 74.75843908736084]",71540.0,-3740.0
1,"[159.18564667289706, 160.05065533958634, 153.04341862979152]","[180.97045465636393, 156.206453600281, 262.1871346502095]",80270.0,-4550.0
1,"[163.68588444814884, 147.54824298113962, 150.61224273311743]","[53.695111218863204, 179.06707397276455, 247.95832380165274]",80880.0,-3930.0
1,"[163.3545269287606, 151.8552031268523, 123.29468942740937]","[288.4072289289798, 160.43724865951353, 280.33797291306104]",80950.0,-3930.0
1,"[135.80324717340417, 161.27652057867653, 136.2834277510021]","[262.4857580343306, 357.50381613102866, 286.4142323336511]",80980.0,-3440.0
1,"[162.17819009985595, 163.67650822772111, 126.66207550079463]","[80.7385584246322, 310.40505777753447, 136.83408191427952]",81170.0,-5100.0
1,"[161.4258634957212, 143.27233415378882, 139.07361362363423]","[265.6763525357989, 144.41262792009815, 221.95381474923025]",81360.0,-3460.0
2,"[163.67041138821935, 155.43857694316887, 178.70870286524143]","[65.1117844042905, 56.73164939344189, 228.26556631139704]",32630.0,-3470.0
2,"[178.4146091307913, 172.75237669922217, 148.9647691645285]","[82.165815080812, 139.69791894953667, 100.17184358675722]",33560.0,-880.0
2,"[159.9589775928818, 163.06797566400905, 149.98000028520832]","[121.48763357497596, 132.88635532624758, 142.4748832161116]",34150.0,-5010.0
