Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
5,"[50.99624843917293, 41.821877607246854, 28.526001511524555]","[255.77672962614946, 254.2935487435273, 233.74474033651433]",38070.0,-5130.0
5,"[51.169062035287126, 37.13988873171505, 31.546162728075586]","[246.08188068126918, 236.19273935761234, 260.29141705786924]",38110.0,-5150.0
5,"[39.57749383279586, 33.36759841694801, 30.116469306978928]","[261.36977142907165, 237.99398620878387, 255.23631637030047]",39090.0,-5600.0
5,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
5,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
5,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
5,"[39.891291232386266, 34.33860422134941, 30.116469306978928]","[261.7687606415885, 236.1115832629252, 255.23631637030047]",39220.0,-5490.0
5,"[49.47123313325114, 32.036299798588914, 33.168218657467705]","[220.2283707026984, 241.2733722119978, 210.96768606931298]",39460.0,-5270.0
5,"[44.5243634830235, 33.187452009969164, 31.642343982223316]","[240.79907106588502, 238.6924777374615, 233.1020012198067]",39480.0,-5250.0
6,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
6,"[38.78412914119454, 33.853101319148706, 30.116469306978928]","[261.4479404441608, 237.05278473585452, 255.23631637030047]",37630.0,-5610.0
6,"[50.99624843917293, 41.821877607246854, 28.526001511524555]","[255.77672962614946, 254.2935487435273, 233.74474033651433]",38070.0,-5130.0
6,"[51.169062035287126, 37.13988873171505, 31.546162728075586]","[246.08188068126918, 236.19273935761234, 260.29141705786924]",38110.0,-5150.0
6,"[39.57749383279586, 33.36759841694801, 30.116469306978928]","[261.36977142907165, 237.99398620878387, 255.23631637030047]",39090.0,-5600.0
6,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
6,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
6,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
6,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
6,"[39.57749383279586, 34.33860422134941, 30.116469306978928]","[261.36977142907165, 236.1115832629252, 255.23631637030047]",39190.0,-5520.0
7,"[45.2868711359844, 38.08024091429813, 29.32123540925174]","[258.5732505276105, 245.20256600322625, 244.4905283534074]",36500.0,-5350.0
7,"[37.99076444959322, 34.33860422134941, 30.116469306978928]","[261.52610945924994, 236.1115832629252, 255.23631637030047]",37560.0,-5690.0
7,"[38.78412914119454, 33.853101319148706, 30.886019674955353]","[261.4479404441608, 237.05278473585452, 253.04322757172193]",37600.0,-5640.0
7,"[38.78412914119454, 33.853101319148706, 30.116469306978928]","[261.4479404441608, 237.05278473585452, 255.23631637030047]",37630.0,-5610.0
7,"[38.387446795393885, 34.09585277024905, 30.116469306978928]","[261.4870249517054, 236.58218399938985, 255.23631637030047]",37640.0,-5610.0
7,"[45.3732779340415, 35.25374357433153, 30.831316017527257]","[253.72582605517042, 237.0933627831981, 257.7638667140849]",37970.0,-5310.0
