Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
5,"[27.894708027092992, 70.91612326800927, 25.826318036519794]","[273.7524294549801, 127.9299859372331, 317.0746108470166]",43450.0,-6190.0
5,"[28.249971299812035, 71.84302360846259, 26.560645633822148]","[273.0446691473212, 127.80214598965883, 316.46058910337285]",43490.0,-6140.0
5,"[20.23660928281178, 50.34103788250633, 66.96790088586614]","[23.60926706157864, 189.3371975704202, 9.297308960736913]",46320.0,-7150.0
5,"[20.23660928281178, 50.34103788250633, 66.96790088586614]","[23.60926706157864, 189.3371975704202, 9.297308960736913]",46320.0,-7150.0
5,"[20.23660928281178, 50.34103788250633, 66.96790088586614]","[23.60926706157864, 189.3371975704202, 9.297308960736913]",46320.0,-7150.0
5,"[20.45461997105723, 49.038330323772186, 67.78573165157597]","[23.765697972333207, 187.17003601399313, 10.339385092678368]",46340.0,-7140.0
6,"[62.79262460441508, 34.79591340659243, 66.13294024384713]","[344.6233389008154, 1.041238750642881, 357.86506022102304]",42300.0,-4030.0
6,"[63.02742647248382, 34.79591340659243, 66.51238331297719]","[344.97977011616734, 1.041238750642881, 357.95132751421966]",42330.0,-4000.0
6,"[63.16753546390441, 34.645315636479566, 66.51238331297719]","[344.49304418896156, 0.2984496003126609, 357.95132751421966]",42350.0,-4000.0
6,"[25.792905605838, 73.03761491452295, 26.45915130611187]","[275.2374587045554, 128.1715230659825, 317.1456660465349]",43120.0,-6450.0
6,"[27.894708027092992, 70.91612326800927, 25.826318036519794]","[273.7524294549801, 127.9299859372331, 317.0746108470166]",43450.0,-6190.0
6,"[20.23660928281178, 51.752094122442244, 66.96790088586614]","[23.60926706157864, 189.29065167435468, 9.297308960736913]",45630.0,-7090.0
6,"[20.202219140624745, 50.75771655598849, 66.33614902972305]","[22.878140144609734, 188.9758007239398, 9.395962847684222]",46240.0,-7230.0
6,"[20.23660928281178, 49.62391632078106, 65.7075209046105]","[23.60926706157864, 188.88823031781715, 10.259858474979167]",46270.0,-7210.0
6,"[20.0, 49.415448583919044, 65.7075209046105]","[22.962970092296594, 189.00625813237, 10.259858474979167]",47570.0,-7270.0
6,"[20.117694439746817, 49.415448583919044, 65.7075209046105]","[21.722008273278114, 189.00625813237, 10.259858474979167]",47580.0,-7260.0
7,"[62.79262460441508, 34.678815492605764, 64.5576692181419]","[344.6233389008154, 2.696801208887993, 357.6772351983174]",42200.0,-4120.0
7,"[63.02742647248382, 33.58680564230011, 66.51238331297719]","[344.97977011616734, 0.0, 357.95132751421966]",42230.0,-4100.0
7,"[62.79262460441508, 34.79591340659243, 66.13294024384713]","[344.6233389008154, 1.041238750642881, 357.86506022102304]",42300.0,-4030.0
7,"[25.792905605838, 73.03761491452295, 26.45915130611187]","[275.2374587045554, 128.1715230659825, 317.1456660465349]",43120.0,-6450.0
7,"[27.894708027092992, 70.91612326800927, 25.826318036519794]","[273.7524294549801, 127.9299859372331, 317.0746108470166]",43450.0,-6190.0
7,"[20.23660928281178, 51.752094122442244, 66.96790088586614]","[23.60926706157864, 189.29065167435468, 9.297308960736913]",45630.0,-7090.0
7,"[20.23660928281178, 51.752094122442244, 66.96790088586614]","[23.60926706157864, 189.29065167435468, 9.297308960736913]",45630.0,-7090.0
7,"[20.117694439746817, 49.80678861216207, 65.7075209046105]","[21.722008273278114, 189.06556977902412, 10.259858474979167]",46220.0,-7260.0
7,"[20.15995679018578, 50.08658256995376, 66.02183496716677]","[22.300074208943926, 188.9910294281549, 9.827910661331694]",46220.0,-7260.0
