Generation,Inclinations,RAANs,Fitness1_crt,Fitness2_cdt
7,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
7,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
7,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
7,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
7,"[60.25668579079387, 25.269513840884628, 53.278004946083946]","[317.51585373904396, 326.5872462924048, 311.4752500309002]",38320.0,-2090.0
7,"[60.59837408766128, 24.932288377506836, 53.16312532843874]","[317.65271928708466, 327.5065059963164, 311.1754228084006]",39690.0,-2100.0
8,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
8,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
8,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
8,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 51.75928685578337]","[317.51585373904396, 327.8147422435535, 312.4757905316791]",38240.0,-2170.0
9,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
9,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
9,"[59.544286236358644, 24.501179496952712, 53.278004946083946]","[318.49407291262895, 327.38451745456666, 311.4752500309002]",38290.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
9,"[60.25668579079387, 25.140472902031284, 53.278004946083946]","[317.51585373904396, 327.8147422435535, 311.4752500309002]",38300.0,-2110.0
10,"[60.25668579079387, 23.35617292333697, 53.278004946083946]","[317.51585373904396, 328.3952577207808, 311.4752500309002]",38170.0,-2240.0
10,"[59.544286236358644, 23.433928742637843, 53.278004946083946]","[318.49407291262895, 325.72983717466605, 311.4752500309002]",38210.0,-2190.0
